timestamp_utc,segment_id,material,install_year,MAOP_bar,location_class,hca_flag,distance_to_building_m,confinement,surface_capping_type,pressure_bar,flow_scm_h,methane_pct_lel,acoustic_index,trigger_channel,route,label_event,label_grade
2025-06-01 00:00:00+00:00,SEG-001,PE,2008,4.0,3,True,8.0,below_pavement,asphalt,3.603,118.44,1.72,0.1046,none,normal,normal,
2025-06-01 00:00:00+00:00,SEG-004,PE,2015,4.0,3,True,5.0,below_pavement,concrete,3.4882,93.74,1.31,0.1455,none,normal,normal,
2025-06-01 00:00:00+00:00,SEG-002,cast_iron,1975,1.0,2,False,45.0,open_row,soil,0.8499,54.75,0.03,0.0344,none,normal,normal,
2025-06-01 00:00:00+00:00,SEG-005A,PE,2010,4.0,2,False,30.0,open_row,soil,3.387,99.92,0.03,0.149,none,normal,normal,
2025-06-01 00:00:00+00:00,SEG-005B,PE,2010,4.0,2,False,30.0,below_pavement,asphalt,3.411,99.38,1.2,0.0709,none,normal,normal,
2025-06-01 00:00:00+00:00,SEG-003,steel,1992,7.0,1,False,120.0,open_row,grass,6.1953,310.69,0.21,0.1499,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-003,steel,1992,7.0,1,False,120.0,open_row,grass,6.1934,310.21,0.18,0.1346,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-005B,PE,2010,4.0,2,False,30.0,below_pavement,asphalt,3.4046,97.7,0.35,0.1017,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-004,PE,2015,4.0,3,True,5.0,below_pavement,concrete,3.4878,95.37,1.47,0.1125,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-002,cast_iron,1975,1.0,2,False,45.0,open_row,soil,0.8509,55.97,0.24,0.0759,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-001,PE,2008,4.0,3,True,8.0,below_pavement,asphalt,3.5805,118.05,1.52,0.1179,none,normal,normal,
2025-06-01 00:01:00+00:00,SEG-005A,PE,2010,4.0,2,False,30.0,open_row,soil,3.4089,100.02,1.79,0.1321,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-005B,PE,2010,4.0,2,False,30.0,below_pavement,asphalt,3.4037,100.95,0.9,0.1339,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-001,PE,2008,4.0,3,True,8.0,below_pavement,asphalt,3.5998,118.72,0.74,0.139,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-002,cast_iron,1975,1.0,2,False,45.0,open_row,soil,0.8416,53.17,0.4,0.1206,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-003,steel,1992,7.0,1,False,120.0,open_row,grass,6.2053,308.94,0.29,0.1165,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-004,PE,2015,4.0,3,True,5.0,below_pavement,concrete,3.4958,92.52,0.08,0.1166,none,normal,normal,
2025-06-01 00:02:00+00:00,SEG-005A,PE,2010,4.0,2,False,30.0,open_row,soil,3.398,98.38,0.55,0.0076,none,normal,normal,
2025-06-01 00:03:00+00:00,SEG-002,cast_iron,1975,1.0,2,False,45.0,open_row,soil,0.8592,53.01,0.26,0.0186,none,normal,normal,
2025-06-01 00:03:00+00:00,SEG-003,steel,1992,7.0,1,False,120.0,open_row,grass,6.2082,309.41,1.31,0.0054,none,normal,normal,
2025-06-01 00:03:00+00:00,SEG-005A,PE,2010,4.0,2,False,30.0,open_row,soil,3.3875,100.77,1.33,0.1254,none,normal,normal,
